Date,Day,Exercise,Type,Set,Weight,Reps,Volume,LLTB,Core,PDT,GHQC,date,Break Time,Tempo
01-May-2021,Saturday,Single Leg Romanian Deadlift,Hypertrophy,1.0,35.0,11.0,385.0,0.0,38.5,0.0,346.5,2021-05-01,90,
01-May-2021,Saturday,Single Leg Romanian Deadlift,Hypertrophy,2.0,42.5,10.0,425.0,0.0,42.5,0.0,382.5,2021-05-01,120,
01-May-2021,Saturday,Single Leg Romanian Deadlift,Hypertrophy,3.0,50.0,7.0,350.0,0.0,35.0,0.0,315.0,2021-05-01,150,
01-May-2021,Saturday,Shoulder Press,Strength,1.0,30.0,10.0,300.0,30.0,0.0,270.0,0.0,2021-05-01,90,
01-May-2021,Saturday,Shoulder Press,Strength,2.0,40.0,9.0,360.0,36.0,0.0,324.0,0.0,2021-05-01,120,
01-May-2021,Saturday,Shoulder Press,Strength,3.0,45.0,5.0,225.0,22.5,0.0,202.5,0.0,2021-05-01,120,
01-May-2021,Saturday,Bench Press,Strength,1.0,55.0,10.0,550.0,0.0,55.0,495.0,0.0,2021-05-01,120,
01-May-2021,Saturday,Bench Press,Strength,2.0,65.0,9.0,585.0,0.0,58.5,526.5,0.0,2021-05-01,120,
01-May-2021,Saturday,Bench Press,Strength,3.0,65.0,6.0,390.0,0.0,39.0,351.0,0.0,2021-05-01,90,
01-May-2021,Saturday,Bench Press,Strength,4.0,65.0,4.0,260.0,0.0,26.0,234.0,0.0,2021-05-01,180,
01-May-2021,Saturday,Bulgarian Squat,Strength,1.0,110.0,10.0,1100.0,0.0,110.0,0.0,990.0,2021-05-01,60,
01-May-2021,Saturday,Bulgarian Squat,Strength,2.0,130.0,10.0,1300.0,0.0,130.0,0.0,1170.0,2021-05-01,30,
01-May-2021,Saturday,Bulgarian Squat,Strength,3.0,150.0,8.0,1200.0,0.0,120.0,0.0,1080.0,2021-05-01,60,
01-May-2021,Saturday,Bicep Curl,Speed,1.0,40.0,10.0,400.0,400.0,0.0,0.0,0.0,2021-05-01,60,
01-May-2021,Saturday,Bicep Curl,Speed,2.0,50.0,8.0,400.0,400.0,0.0,0.0,0.0,2021-05-01,120,
01-May-2021,Saturday,Bicep Curl,Speed,3.0,50.0,5.0,250.0,250.0,0.0,0.0,0.0,2021-05-01,180,
01-May-2021,Saturday,Squat,Hypertrophy,1.0,65.0,10.0,650.0,65.0,65.0,0.0,520.0,2021-05-01,120,
01-May-2021,Saturday,Squat,Hypertrophy,2.0,75.0,8.0,600.0,60.0,60.0,0.0,480.0,2021-05-01,120,
02-May-2021,Sunday,Deadlift,Speed,1.0,35.0,10.0,350.0,105.0,35.0,0.0,210.0,2021-05-02,60,
02-May-2021,Sunday,Deadlift,Speed,2.0,45.0,8.0,360.0,108.0,36.0,0.0,216.0,2021-05-02,120,
02-May-2021,Sunday,Deadlift,Speed,3.0,50.0,6.0,300.0,90.0,30.0,0.0,180.0,2021-05-02,120,
