Activity,Set #,Weight,Reps,Date,Volume,LLTB,Core,PDT,GHQC,Sum,DOW,Month,Break Time
Single Leg Romanian Deadlift,1.0,35.0,11.0,2021-05-01,385.0,0.0,38.5,0.0,346.5,385.0,Saturday,5.0,90
Single Leg Romanian Deadlift,2.0,42.5,10.0,2021-05-01,425.0,0.0,42.5,0.0,382.5,425.0,Saturday,5.0,120
Single Leg Romanian Deadlift,3.0,50.0,7.0,2021-05-01,350.0,0.0,35.0,0.0,315.0,350.0,Saturday,5.0,150
Shoulder Press,1.0,30.0,10.0,2021-05-01,300.0,30.0,0.0,270.0,0.0,300.0,Saturday,5.0,90
Shoulder Press,2.0,40.0,9.0,2021-05-01,360.0,36.0,0.0,324.0,0.0,360.0,Saturday,5.0,120
Shoulder Press,3.0,45.0,5.0,2021-05-01,225.0,22.5,0.0,202.5,0.0,225.0,Saturday,5.0,120
Bench Press,1.0,55.0,10.0,2021-05-01,550.0,0.0,55.0,495.0,0.0,550.0,Saturday,5.0,120
Bench Press,2.0,65.0,9.0,2021-05-01,585.0,0.0,58.5,526.5,0.0,585.0,Saturday,5.0,120
Bench Press,3.0,65.0,6.0,2021-05-01,390.0,0.0,39.0,351.0,0.0,390.0,Saturday,5.0,90
Bench Press,4.0,65.0,4.0,2021-05-01,260.0,0.0,26.0,234.0,0.0,260.0,Saturday,5.0,180
Bulgarian Squat,1.0,110.0,10.0,2021-05-01,1100.0,0.0,110.0,0.0,990.0,1100.0,Saturday,5.0,60
Bulgarian Squat,2.0,130.0,10.0,2021-05-01,1300.0,0.0,130.0,0.0,1170.0,1300.0,Saturday,5.0,30
Bulgarian Squat,3.0,150.0,8.0,2021-05-01,1200.0,0.0,120.0,0.0,1080.0,1200.0,Saturday,5.0,60
Bicep Curl,1.0,40.0,10.0,2021-05-01,400.0,400.0,0.0,0.0,0.0,400.0,Saturday,5.0,60
Bicep Curl,2.0,50.0,8.0,2021-05-01,400.0,400.0,0.0,0.0,0.0,400.0,Saturday,5.0,120
Bicep Curl,3.0,50.0,5.0,2021-05-01,250.0,250.0,0.0,0.0,0.0,250.0,Saturday,5.0,180
Squat,1.0,65.0,10.0,2021-05-01,650.0,65.0,65.0,0.0,520.0,650.0,Saturday,5.0,120
Squat,2.0,75.0,8.0,2021-05-01,600.0,60.0,60.0,0.0,480.0,600.0,Saturday,5.0,120
Deadlift,1.0,70.0,10.0,2021-05-01,700.0,210.0,70.0,0.0,420.0,700.0,Saturday,5.0,120
Deadlift,2.0,80.0,6.0,2021-05-01,480.0,144.0,48.0,0.0,288.0,480.0,Saturday,5.0,90
Deadlift,1.0,35.0,10.0,2021-05-02,350.0,105.0,35.0,0.0,210.0,350.0,Sunday,5.0,60
Deadlift,2.0,45.0,8.0,2021-05-02,360.0,108.0,36.0,0.0,216.0,360.0,Sunday,5.0,120
Deadlift,3.0,50.0,6.0,2021-05-02,300.0,90.0,30.0,0.0,180.0,300.0,Sunday,5.0,120
Squat,1.0,40.0,10.0,2021-05-02,400.0,40.0,40.0,0.0,320.0,400.0,Sunday,5.0,120
Squat,2.0,40.0,10.0,2021-05-02,400.0,40.0,40.0,0.0,320.0,400.0,Sunday,5.0,60
Squat,3.0,40.0,10.0,2021-05-02,400.0,40.0,40.0,0.0,320.0,400.0,Sunday,5.0,90
Squat,4.0,40.0,10.0,2021-05-02,400.0,40.0,40.0,0.0,320.0,400.0,Sunday,5.0,150
Squat,5.0,40.0,10.0,2021-05-02,400.0,40.0,40.0,0.0,320.0,400.0,Sunday,5.0,120
Bench Press,1.0,40.0,10.0,2021-05-03,400.0,0.0,40.0,360.0,0.0,400.0,Monday,5.0,90
Bench Press,2.0,45.0,10.0,2021-05-03,450.0,0.0,45.0,405.0,0.0,450.0,Monday,5.0,60
Bench Press,3.0,60.0,10.0,2021-05-03,600.0,0.0,60.0,540.0,0.0,600.0,Monday,5.0,90
Shoulder Press,1.0,40.0,10.0,2021-05-03,400.0,40.0,0.0,360.0,0.0,400.0,Monday,5.0,120
Shoulder Press,2.0,40.0,10.0,2021-05-03,400.0,40.0,0.0,360.0,0.0,400.0,Monday,5.0,90
Shoulder Press,3.0,40.0,10.0,2021-05-03,400.0,40.0,0.0,360.0,0.0,400.0,Monday,5.0,120
Shoulder Press,4.0,40.0,10.0,2021-05-03,400.0,40.0,0.0,360.0,0.0,400.0,Monday,5.0,60
Shoulder Press,5.0,40.0,10.0,2021-05-03,400.0,40.0,0.0,360.0,0.0,400.0,Monday,5.0,120
Barbell Row,1.0,40.0,10.0,2021-05-03,400.0,360.0,0.0,0.0,40.0,400.0,Monday,5.0,120
Barbell Row,2.0,40.0,10.0,2021-05-03,400.0,360.0,0.0,0.0,40.0,400.0,Monday,5.0,150
Barbell Row,3.0,40.0,10.0,2021-05-03,400.0,360.0,0.0,0.0,40.0,400.0,Monday,5.0,180
Barbell Row,4.0,40.0,10.0,2021-05-03,400.0,360.0,0.0,0.0,40.0,400.0,Monday,5.0,180
Barbell Row,5.0,40.0,10.0,2021-05-03,400.0,360.0,0.0,0.0,40.0,400.0,Monday,5.0,120
Bicep Curl,1.0,40.0,8.0,2021-05-04,320.0,320.0,0.0,0.0,0.0,320.0,Tuesday,5.0,120
Bicep Curl,2.0,40.0,8.0,2021-05-04,320.0,320.0,0.0,0.0,0.0,320.0,Tuesday,5.0,90
Bicep Curl,3.0,40.0,8.0,2021-05-04,320.0,320.0,0.0,0.0,0.0,320.0,Tuesday,5.0,120
Barbell Overhead Press,1.0,30.0,12.0,2021-05-04,360.0,36.0,0.0,324.0,0.0,360.0,Tuesday,5.0,150
Barbell Overhead Press,2.0,30.0,10.0,2021-05-04,300.0,30.0,0.0,270.0,0.0,300.0,Tuesday,5.0,150
Barbell Overhead Press,3.0,30.0,8.0,2021-05-04,240.0,24.0,0.0,216.0,0.0,240.0,Tuesday,5.0,180
Barbell Tricep,1.0,25.0,15.0,2021-05-04,375.0,0.0,0.0,375.0,0.0,375.0,Tuesday,5.0,90
Barbell Tricep,2.0,25.0,13.0,2021-05-04,325.0,0.0,0.0,325.0,0.0,325.0,Tuesday,5.0,90
Barbell Tricep,3.0,25.0,14.0,2021-05-04,350.0,0.0,0.0,350.0,0.0,350.0,Tuesday,5.0,60
Bench Press,1.0,50.0,15.0,2021-05-04,750.0,0.0,75.0,675.0,0.0,750.0,Tuesday,5.0,60
Bench Press,2.0,50.0,15.0,2021-05-04,750.0,0.0,75.0,675.0,0.0,750.0,Tuesday,5.0,150
Bench Press,3.0,50.0,15.0,2021-05-04,750.0,0.0,75.0,675.0,0.0,750.0,Tuesday,5.0,120
Ab Crunch,1.0,20.0,15.0,2021-05-04,300.0,0.0,300.0,0.0,0.0,300.0,Tuesday,5.0,90
Ab Crunch,2.0,20.0,15.0,2021-05-04,300.0,0.0,300.0,0.0,0.0,300.0,Tuesday,5.0,120
Ab Crunch,3.0,20.0,15.0,2021-05-04,300.0,0.0,300.0,0.0,0.0,300.0,Tuesday,5.0,90
Bench Press,1.0,50.0,8.0,2021-05-05,400.0,0.0,40.0,360.0,0.0,400.0,Wednesday,5.0,60
Bench Press,2.0,50.0,8.0,2021-05-05,400.0,0.0,40.0,360.0,0.0,400.0,Wednesday,5.0,120
Bench Press,3.0,50.0,7.0,2021-05-05,350.0,0.0,35.0,315.0,0.0,350.0,Wednesday,5.0,60
Bicep Curl,1.0,60.0,10.0,2021-05-05,600.0,600.0,0.0,0.0,0.0,600.0,Wednesday,5.0,180
Bicep Curl,2.0,70.0,6.0,2021-05-05,420.0,420.0,0.0,0.0,0.0,420.0,Wednesday,5.0,120
Bicep Curl,3.0,60.0,7.0,2021-05-05,420.0,420.0,0.0,0.0,0.0,420.0,Wednesday,5.0,60
Tricep Extension,1.0,50.0,10.0,2021-05-05,500.0,0.0,0.0,500.0,0.0,500.0,Wednesday,5.0,90
Tricep Extension,2.0,60.0,8.0,2021-05-05,480.0,0.0,0.0,480.0,0.0,480.0,Wednesday,5.0,120
Tricep Extension,3.0,50.0,10.0,2021-05-05,500.0,0.0,0.0,500.0,0.0,500.0,Wednesday,5.0,90
Ab Crunch,1.0,50.0,12.0,2021-05-05,600.0,0.0,600.0,0.0,0.0,600.0,Wednesday,5.0,60
Ab Crunch,2.0,60.0,8.0,2021-05-05,480.0,0.0,480.0,0.0,0.0,480.0,Wednesday,5.0,120
Ab Crunch,3.0,60.0,8.0,2021-05-05,480.0,0.0,480.0,0.0,0.0,480.0,Wednesday,5.0,120
Single Leg Romanian Deadlift,1.0,82.0,10.0,2021-05-05,820.0,0.0,82.0,0.0,738.0,820.0,Wednesday,5.0,150
Single Leg Romanian Deadlift,2.0,82.0,8.0,2021-05-05,656.0,0.0,65.60000000000001,0.0,590.4,656.0,Wednesday,5.0,120
Single Leg Romanian Deadlift,3.0,82.0,8.0,2021-05-05,656.0,0.0,65.60000000000001,0.0,590.4,656.0,Wednesday,5.0,90
Bulgarian Squat,1.0,140.0,10.0,2021-05-05,1400.0,0.0,140.0,0.0,1260.0,1400.0,Wednesday,5.0,150
Bulgarian Squat,2.0,140.0,8.0,2021-05-05,1120.0,0.0,112.0,0.0,1008.0,1120.0,Wednesday,5.0,60
Squat,1.0,65.0,5.0,2021-05-06,325.0,32.5,32.5,0.0,260.0,325.0,Thursday,5.0,120
Squat,2.0,75.0,5.0,2021-05-06,375.0,37.5,37.5,0.0,300.0,375.0,Thursday,5.0,150
Squat,3.0,85.0,5.0,2021-05-06,425.0,42.5,42.5,0.0,340.0,425.0,Thursday,5.0,90
Squat,4.0,95.0,5.0,2021-05-06,475.0,47.5,47.5,0.0,380.0,475.0,Thursday,5.0,120
Squat,5.0,105.0,5.0,2021-05-06,525.0,52.5,52.5,0.0,420.0,525.0,Thursday,5.0,90
Deadlift,1.0,75.0,10.0,2021-05-06,750.0,225.0,75.0,0.0,450.0,750.0,Thursday,5.0,150
Deadlift,2.0,75.0,10.0,2021-05-06,750.0,225.0,75.0,0.0,450.0,750.0,Thursday,5.0,120
Deadlift,3.0,75.0,10.0,2021-05-06,750.0,225.0,75.0,0.0,450.0,750.0,Thursday,5.0,60
Deadlift,4.0,75.0,10.0,2021-05-06,750.0,225.0,75.0,0.0,450.0,750.0,Thursday,5.0,150
Deadlift,5.0,75.0,10.0,2021-05-06,750.0,225.0,75.0,0.0,450.0,750.0,Thursday,5.0,150
Deadlift,1.0,110.0,3.0,2021-05-07,330.0,99.0,33.0,0.0,198.0,330.0,Friday,5.0,90
Deadlift,2.0,120.0,3.0,2021-05-07,360.0,108.0,36.0,0.0,216.0,360.0,Friday,5.0,120
Deadlift,3.0,130.0,3.0,2021-05-07,390.0,117.0,39.0,0.0,234.0,390.0,Friday,5.0,90
Deadlift,4.0,140.0,5.0,2021-05-07,700.0,210.0,70.0,0.0,420.0,700.0,Friday,5.0,120
Squat,1.0,60.0,10.0,2021-05-07,600.0,60.0,60.0,0.0,480.0,600.0,Friday,5.0,90
Squat,2.0,60.0,10.0,2021-05-07,600.0,60.0,60.0,0.0,480.0,600.0,Friday,5.0,30
Squat,3.0,60.0,10.0,2021-05-07,600.0,60.0,60.0,0.0,480.0,600.0,Friday,5.0,180
Squat,4.0,60.0,10.0,2021-05-07,600.0,60.0,60.0,0.0,480.0,600.0,Friday,5.0,120
Squat,5.0,60.0,10.0,2021-05-07,600.0,60.0,60.0,0.0,480.0,600.0,Friday,5.0,30
Deadlift,1.0,110.0,5.0,2021-05-08,550.0,165.0,55.0,0.0,330.0,550.0,Saturday,5.0,90
Deadlift,2.0,125.0,5.0,2021-05-08,625.0,187.5,62.5,0.0,375.0,625.0,Saturday,5.0,120
Deadlift,3.0,135.0,5.0,2021-05-08,675.0,202.5,67.5,0.0,405.0,675.0,Saturday,5.0,120
Squat,1.0,60.0,10.0,2021-05-08,600.0,60.0,60.0,0.0,480.0,600.0,Saturday,5.0,90
Squat,2.0,60.0,10.0,2021-05-08,600.0,60.0,60.0,0.0,480.0,600.0,Saturday,5.0,60
Squat,3.0,60.0,10.0,2021-05-08,600.0,60.0,60.0,0.0,480.0,600.0,Saturday,5.0,90
Squat,4.0,60.0,10.0,2021-05-08,600.0,60.0,60.0,0.0,480.0,600.0,Saturday,5.0,90
